#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         376      1.6975     1.91552   0.0224008
         377     1.70107     1.91496   0.0223486
         378     1.70456      1.9144   0.0222964
         379     1.70796     1.91385   0.0222442
         380     1.71124     1.91332    0.022192
         381     1.71442      1.9128   0.0221399
         382     1.71747     1.91229   0.0220879
         383     1.72039     1.91179   0.0220359
         384     1.72318      1.9113    0.021984
         385     1.72582     1.91081   0.0219322
         386      1.7283     1.91034   0.0218804
         387     1.73062     1.90988   0.0218288
         388     1.73276     1.90942   0.0217773
         389     1.73473     1.90897    0.021726
         390      1.7365     1.90853   0.0216748
         391     1.73807     1.90809   0.0216237
         392     1.73942     1.90766   0.0215728
         393     1.74055     1.90724   0.0215221
         394     1.74145     1.90682   0.0214716
         395      1.7421      1.9064   0.0214213
         396     1.74249     1.90599   0.0213712
         397     1.74261     1.90557   0.0213214
         398     1.74245     1.90516   0.0212717
         399     1.74201     1.90476   0.0212223
         400     1.74129     1.90435   0.0211732
         401     1.74027     1.90394   0.0211244
         402     1.73897     1.90353   0.0210758
         403      1.7374     1.90312   0.0210275
         404     1.73555      1.9027   0.0209796
         405     1.73345     1.90228   0.0209319
         406     1.73112     1.90186   0.0208846
         407     1.72859     1.90144   0.0208377
         408     1.72588       1.901    0.020791
         409     1.72304     1.90057   0.0207447
         410     1.72009     1.90013   0.0206988
         411      1.7171     1.89968   0.0206532
         412     1.71409     1.89923    0.020608
         413     1.71112     1.89878   0.0205632
         414     1.70822     1.89832   0.0205186
         415     1.70545     1.89785   0.0204745
         416     1.70283     1.89738   0.0204306
         417     1.70041     1.89691   0.0203871
         418     1.69821     1.89644   0.0203438
         419     1.69625     1.89596   0.0203009
         420     1.69454     1.89548   0.0202582
         421     1.69309       1.895   0.0202158
         422     1.69189     1.89452   0.0201736
         423     1.69092     1.89404   0.0201317
         424     1.69017     1.89356   0.0200899
         425      1.6896     1.89308   0.0200484
         426     1.68918      1.8926   0.0200071
         427     1.68889     1.89212   0.0199659
         428     1.68867     1.89164   0.0199249
         429      1.6885     1.89117   0.0198841
         430     1.68833      1.8907   0.0198434
         431     1.68813     1.89023    0.019803
         432     1.68787     1.88976   0.0197627
         433     1.68751     1.88929   0.0197225
         434     1.68704     1.88883   0.0196826
         435     1.68644     1.88836   0.0196428
         436      1.6857      1.8879   0.0196033
         437      1.6848     1.88743   0.0195639
         438     1.68376     1.88697   0.0195248
         439     1.68256      1.8865   0.0194859
         440     1.68122     1.88604   0.0194472
         441     1.67975     1.88557   0.0194087
         442     1.67817      1.8851   0.0193705
         443     1.67647     1.88463   0.0193325
         444      1.6747     1.88415   0.0192947
         445     1.67285     1.88368   0.0192572
         446     1.67096      1.8832   0.0192199
         447     1.66904     1.88272   0.0191829
         448     1.66711     1.88224   0.0191461
         449     1.66518     1.88176   0.0191096
         450     1.66327     1.88127   0.0190733
         451     1.66139     1.88079   0.0190372
         452     1.65955      1.8803   0.0190014
         453     1.65776     1.87981   0.0189658
         454     1.65602     1.87931   0.0189304
         455     1.65434     1.87882   0.0188953
         456     1.65271     1.87832   0.0188603
         457     1.65114     1.87783   0.0188256
         458     1.64963     1.87733   0.0187911
         459     1.64817     1.87683   0.0187568
         460     1.64676     1.87633   0.0187227
         461     1.64539     1.87583   0.0186888
         462     1.64408     1.87532    0.018655
         463     1.64281     1.87482   0.0186215
         464     1.64158     1.87432   0.0185882
         465     1.64041     1.87382    0.018555
         466     1.63929     1.87331    0.018522
         467     1.63823     1.87281   0.0184892
         468     1.63723     1.87231   0.0184565
         469     1.63631      1.8718    0.018424
         470     1.63548      1.8713   0.0183917
         471     1.63474      1.8708   0.0183595
         472     1.63411      1.8703   0.0183274
         473     1.63359      1.8698   0.0182955
         474      1.6332      1.8693   0.0182637
         475     1.63294      1.8688   0.0182321
         476      1.6328      1.8683   0.0182005
         477      1.6328     1.86781    0.018169
         478     1.63292     1.86732   0.0181377
         479     1.63316     1.86683   0.0181064
         480      1.6335     1.86634   0.0180752
         481     1.63394     1.86586   0.0180441
         482     1.63444     1.86538    0.018013
         483     1.63499      1.8649    0.017982
         484     1.63556     1.86443   0.0179511
         485     1.63613     1.86396   0.0179203
         486     1.63668     1.86349   0.0178895
         487     1.63717     1.86303   0.0178588
         488     1.63759     1.86256   0.0178282
         489     1.63792     1.86211   0.0177977
         490     1.63812     1.86165   0.0177672
         491     1.63818     1.86119   0.0177369
         492     1.63809     1.86074   0.0177066
         493     1.63781     1.86029   0.0176765
         494     1.63734     1.85984   0.0176464
         495     1.63667     1.85939   0.0176165
         496     1.63579     1.85893   0.0175868
         497     1.63468     1.85848   0.0175572
         498     1.63335     1.85803   0.0175278
         499     1.63179     1.85758   0.0174985
         500     1.62999     1.85712   0.0174694
         501     1.62796     1.85667   0.0174405
         502      1.6257     1.85621   0.0174119
         503     1.62322     1.85574   0.0173834
         504     1.62053     1.85528   0.0173552
         505     1.61762      1.8548   0.0173272
         506     1.61453     1.85433   0.0172995
         507     1.61126     1.85385    0.017272
         508     1.60784     1.85337   0.0172448
         509     1.60428     1.85288   0.0172178
         510      1.6006     1.85238   0.0171912
         511     1.59684     1.85188   0.0171648
         512     1.59301     1.85138   0.0171387
         513     1.58915     1.85087   0.0171129
         514     1.58528     1.85035   0.0170874
         515     1.58143     1.84983   0.0170622
         516     1.57762      1.8493   0.0170373
         517     1.57387     1.84877   0.0170127
