#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         679        -0.2   -0.451546  0.00497344
         680       -0.68   -0.451882  0.00497746
         681        -0.6     -0.4521   0.0049749
         682       -0.36   -0.451965  0.00496943
         683       -0.36    -0.45183  0.00496398
         684        -0.6   -0.452047  0.00496145
         685       -0.36   -0.451912  0.00495603
         686        -0.2   -0.451545  0.00496239
         687       -0.36   -0.451412  0.00495695
         688       -0.52   -0.451512  0.00495075
         689       -0.36   -0.451379  0.00494535
         690       -0.44   -0.451362  0.00493821
         691       -0.28   -0.451114  0.00493728
         692       -0.44   -0.451098  0.00493017
         693       -0.52   -0.451198  0.00492406
         694       -0.68   -0.451527  0.00492799
