       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
          16    0.769126    0.629848    0.663118  0.00749427
          16    0.908968    0.754692    0.748402  0.00421823
          16     1.04881    0.787865    0.783884  0.00592661
          16     1.18865    0.789057    0.766079  0.00916614
          16     1.32849    0.663087    0.692239  0.00734547
          16     1.46833    0.619618    0.600584  0.00509934
          16     1.60817    0.513976    0.495505  0.00433652
          16     1.74801    0.378637    0.388017  0.00506867
          16     1.88786    0.285509    0.286246  0.00503753
          16      2.0277    0.199896    0.203678  0.00428154
          16     2.16754     0.13471    0.133166  0.00201562
          16     2.30738   0.0950814   0.0845039  0.00195173
          16     2.44722    0.059161   0.0493305  0.00231111
          16     2.58706   0.0404228   0.0299964  0.00172615
          16      2.7269   0.0269817   0.0181009  0.00131996
          16     2.86674   0.0138716  0.00938358  0.00123011
          16     3.00659  0.00658816  0.00546048 0.000696091
          16     3.14643  0.00443625   0.0026423 0.000449688
          16     3.28627 0.000960084  0.00115458 0.000339111
          16     3.42611   0.0010594 0.000449005 0.000156709
          16     3.56595  0.00119183 0.000362101 0.000206821
          16     3.70579           0 0.000173808 0.000124132
          16     3.84563           0   0.0001945 0.000188324
          16     3.98547           0 0.000107596 0.000104179
          16     4.12531           0           0           0
          17   0.0699206   0.0157586   0.0122143 0.000769068
          17    0.209762   0.0816071   0.0827775  0.00241721
          17    0.349603    0.192017    0.202219  0.00407454
          17    0.489444    0.377081    0.368228  0.00559083
          17    0.629285    0.524438    0.522913  0.00649877
          17    0.769126    0.659644    0.662914  0.00705622
          17    0.908968    0.765948    0.749434  0.00409443
          17     1.04881    0.803723    0.785051  0.00569172
          17     1.18865    0.744065    0.764784  0.00871794
          17     1.32849    0.718805    0.693802  0.00707766
          17     1.46833    0.588035    0.599846  0.00485252
          17     1.60817     0.49984     0.49576  0.00408892
          17     1.74801    0.382842    0.387712  0.00477964
          17     1.88786    0.254488    0.284378  0.00507577
          17      2.0277    0.191189    0.202944  0.00409223
          17     2.16754     0.15219    0.134285  0.00218573
          17     2.30738   0.0961739   0.0851904  0.00195392
          17     2.44722   0.0525729   0.0495212  0.00218302
          17     2.58706   0.0194665    0.029377  0.00173218
