       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           5     2.52649    0.902644     0.88662  0.00562731
           5     2.55214    0.905892    0.888303  0.00725493
           6   0.0128248           0           0           0
           6   0.0384745           0           0           0
           6   0.0641241           0           0           0
           6   0.0897737           0           0           0
           6    0.115423           0           0           0
           6    0.141073           0           0           0
           6    0.166723           0           0           0
           6    0.192372           0           0           0
           6    0.218022           0           0           0
           6    0.243672           0           0           0
           6    0.269321           0           0           0
           6    0.294971           0           0           0
           6     0.32062           0           0           0
           6     0.34627           0           0           0
           6     0.37192           0           0           0
           6    0.397569           0           0           0
           6    0.423219           0           0           0
           6    0.448869           0           0           0
           6    0.474518           0           0           0
           6    0.500168           0           0           0
           6    0.525818           0           0           0
           6    0.551467           0           0           0
           6    0.577117           0           0           0
           6    0.602767           0           0           0
           6    0.628416           0           0           0
           6    0.654066           0           0           0
           6    0.679715           0           0           0
           6    0.705365           0           0           0
           6    0.731015           0           0           0
           6    0.756664           0           0           0
           6    0.782314           0           0           0
           6    0.807964           0           0           0
           6    0.833613           0           0           0
           6    0.859263           0 7.13251e-05 4.21882e-05
           6    0.884913  0.00088037  0.00125636 0.000285475
           6    0.910562   0.0267977    0.024107 0.000841663
           6    0.936212    0.176988    0.168107  0.00294987
           6    0.961861    0.571672    0.572596  0.00312555
           6    0.987511     1.20791     1.21036  0.00533836
           6     1.01316     1.84533     1.85492   0.0136657
           6     1.03881     2.32767      2.3292   0.0120811
           6     1.06446     2.53122     2.54625  0.00511696
           6     1.09011     2.56154     2.55308  0.00840727
           6     1.11576     2.45694     2.40693   0.0150845
           6     1.14141     2.20651     2.19069  0.00964264
           6     1.16706     2.00538     1.98747  0.00632184
           6     1.19271     1.76988     1.75005    0.012241
           6     1.21836     1.55293     1.55169  0.00754492
           6     1.24401     1.36757     1.39041  0.00973256
           6     1.26966     1.24921     1.24819  0.00698492
           6     1.29531     1.11809     1.13151  0.00485959
           6     1.32096     1.03535     1.03051  0.00408891
           6     1.34661    0.921972    0.939247  0.00841867
           6     1.37226    0.846084    0.871896  0.00812168
           6     1.39791    0.805545    0.811103  0.00255446
           6     1.42355    0.771825    0.769697  0.00379285
           6      1.4492    0.720119    0.731033  0.00612827
           6     1.47485    0.692708    0.702737   0.0059696
           6      1.5005    0.686804    0.688149  0.00388472
           6     1.52615    0.682678    0.682069  0.00363598
           6      1.5518    0.659557    0.671854   0.0048014
           6     1.57745    0.665475    0.669011  0.00468907
           6      1.6031    0.672921    0.675251  0.00745682
           6     1.62875    0.694304    0.682246  0.00311259
           6      1.6544    0.696646    0.695086  0.00549627
           6     1.68005    0.737451    0.724266  0.00560728
           6      1.7057     0.75979    0.755167  0.00376712
           6     1.73135    0.783492    0.782048  0.00516572
           6       1.757    0.821092    0.815942  0.00444199
           6     1.78265    0.857882    0.849029  0.00499206
           6      1.8083    0.893627    0.897913   0.0049215
           6     1.83395    0.952485    0.945755  0.00351279
           6      1.8596    0.992078    0.979836   0.0048643
           6     1.88525     1.02913     1.02071  0.00368556
           6      1.9109       1.067     1.06349  0.00419489
           6     1.93655     1.09506     1.09709  0.00380546
           6      1.9622     1.15323     1.13016  0.00567137
           6     1.98785      1.1802     1.16451   0.0052139
           6      2.0135     1.19066     1.18475  0.00171024
           6     2.03915     1.20831     1.20704  0.00328153
           6      2.0648     1.19801     1.21657  0.00472138
           6     2.09045     1.20025     1.22137  0.00646267
           6      2.1161     1.18793     1.20317  0.00669564
           6     2.14174     1.18848      1.1962  0.00487256
           6     2.16739     1.16537     1.17487   0.0069589
           6     2.19304     1.14085     1.14947  0.00540659
           6     2.21869     1.10673     1.11956  0.00725825
           6     2.24434     1.08567      1.0912  0.00564418
           6     2.26999     1.05912      1.0689  0.00378057
           6     2.29564     1.02517     1.03812  0.00435247
           6     2.32129     1.01051     1.01356  0.00556976
           6     2.34694    0.998676    0.985035  0.00318314
           6     2.37259    0.961181     0.95963  0.00101491
           6     2.39824    0.940299    0.943242  0.00226536
           6     2.42389    0.919064    0.924237  0.00273658
           6     2.44954    0.911475    0.916464  0.00542612
           6     2.47519    0.911897    0.906685  0.00344709
           6     2.50084    0.891347    0.888539  0.00249954
           6     2.52649    0.888018    0.886853  0.00469424
           6     2.55214    0.894571    0.889348  0.00612052
           7   0.0128248           0           0           0
           7   0.0384745           0           0           0
           7   0.0641241           0           0           0
           7   0.0897737           0           0           0
           7    0.115423           0           0           0
           7    0.141073           0           0           0
           7    0.166723           0           0           0
           7    0.192372           0           0           0
           7    0.218022           0           0           0
           7    0.243672           0           0           0
           7    0.269321           0           0           0
           7    0.294971           0           0           0
           7     0.32062           0           0           0
           7     0.34627           0           0           0
           7     0.37192           0           0           0
           7    0.397569           0           0           0
           7    0.423219           0           0           0
           7    0.448869           0           0           0
           7    0.474518           0           0           0
           7    0.500168           0           0           0
           7    0.525818           0           0           0
           7    0.551467           0           0           0
           7    0.577117           0           0           0
           7    0.602767           0           0           0
           7    0.628416           0           0           0
           7    0.654066           0           0           0
           7    0.679715           0           0           0
           7    0.705365           0           0           0
           7    0.731015           0           0           0
           7    0.756664           0           0           0
           7    0.782314           0           0           0
           7    0.807964           0           0           0
           7    0.833613           0           0           0
           7    0.859263           0 6.11358e-05 3.73715e-05
           7    0.884913  0.00165069  0.00131269 0.000250189
           7    0.910562    0.023212   0.0239791 0.000731072
           7    0.936212     0.16791    0.168078   0.0025286
           7    0.961861    0.558259    0.570548  0.00328217
           7    0.987511      1.2043     1.20949   0.0046453
           7     1.01316     1.86885     1.85691   0.0118575
           7     1.03881     2.34402     2.33131   0.0105393
