#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         439        -0.6   -0.469339  0.00586538
         440       -0.44   -0.469273  0.00585242
         441       -0.44   -0.469206  0.00583953
         442        -0.6   -0.469502  0.00583381
         443       -0.44   -0.469436  0.00582102
         444       -0.52    -0.46955  0.00580903
         445       -0.44   -0.469483  0.00579635
         446       -0.52   -0.469596  0.00578446
         447       -0.36   -0.469351  0.00577671
         448        -0.6   -0.469643  0.00577118
         449       -0.68   -0.470111  0.00577731
         450       -0.36   -0.469867  0.00576965
         451       -0.28   -0.469446  0.00577219
         452       -0.52   -0.469558  0.00576051
         453       -0.52   -0.469669  0.00574887
         454       -0.44   -0.469604  0.00573658
         455       -0.52   -0.469714  0.00572504
         456       -0.68   -0.470175  0.00573103
         457       -0.44   -0.470109  0.00571887
         458       -0.44   -0.470044  0.00570676
         459       -0.44   -0.469978   0.0056947
         460       -0.68   -0.470435  0.00570059
         461        -0.6   -0.470716  0.00569515
         462       -0.36   -0.470476  0.00568786
         463       -0.28   -0.470065  0.00569044
         464       -0.12    -0.46931  0.00572797
         465       -0.28   -0.468903   0.0057301
         466       -0.28   -0.468498  0.00573212
         467       -0.36   -0.468266  0.00572456
         468       -0.44   -0.468205  0.00571264
         469       -0.52   -0.468316  0.00570153
         470        -0.6   -0.468596  0.00569628
         471       -0.52   -0.468705  0.00568523
         472       -0.52   -0.468814  0.00567422
         473       -0.44   -0.468753  0.00566255
         474       -0.36   -0.468523  0.00565525
         475       -0.52   -0.468632  0.00564439
         476       -0.52   -0.468739  0.00563356
         477       -0.36   -0.468512  0.00562636
         478       -0.36   -0.468285  0.00561917
         479       -0.52   -0.468392  0.00560847
         480       -0.44   -0.468333   0.0055971
         481        -0.6   -0.468607  0.00559215
         482       -0.44   -0.468548  0.00558087
         483       -0.52   -0.468654  0.00557033
         484       -0.52    -0.46876  0.00555983
         485       -0.36   -0.468536  0.00555289
         486       -0.44   -0.468477  0.00554177
         487       -0.44   -0.468419   0.0055307
         488       -0.36   -0.468197  0.00552383
         489       -0.44   -0.468139  0.00551283
         490       -0.28   -0.467755  0.00551494
         491       -0.44   -0.467699    0.005504
         492       -0.52   -0.467805  0.00549383
         493       -0.36   -0.467586  0.00548704
         494       -0.68   -0.468016  0.00549276
         495        -0.6   -0.468283  0.00548813
         496       -0.44   -0.468226  0.00547736
         497        -0.2   -0.467686  0.00549286
         498       -0.36    -0.46747  0.00548609
         499       -0.44   -0.467415  0.00547537
         500        -0.6    -0.46768  0.00547083
         501       -0.44   -0.467625  0.00546019
         502       -0.36    -0.46741  0.00545352
         503       -0.36   -0.467197  0.00544686
         504       -0.52   -0.467302  0.00543706
         505       -0.44   -0.467248  0.00542656
         506       -0.44   -0.467194  0.00541611
         507       -0.12   -0.466509  0.00544854
         508       -0.44   -0.466457  0.00543807
         509        -0.6   -0.466719  0.00543371
         510       -0.52   -0.466824  0.00542406
         511       -0.36   -0.466614  0.00541747
         512       -0.28    -0.46625  0.00541914
         513       -0.44   -0.466199  0.00540882
         514        -0.6   -0.466459  0.00540455
         515       -0.28   -0.466097  0.00540617
         516       -0.52   -0.466202  0.00539671
         517        -0.2   -0.465687  0.00541077
         518       -0.52   -0.465792  0.00540134
         519       -0.52   -0.465896  0.00539195
         520       -0.52      -0.466  0.00538258
         521       -0.52   -0.466104  0.00537325
         522       -0.44   -0.466054  0.00536319
         523       -0.52   -0.466157  0.00535392
         524       -0.36   -0.465954  0.00534754
         525       -0.52   -0.466057  0.00533834
         526       -0.44   -0.466008  0.00532842
         527       -0.76   -0.466565  0.00534744
         528        -0.6   -0.466818  0.00534328
         529       -0.44   -0.466767  0.00533342
         530       -0.44   -0.466717  0.00532359
         531       -0.44   -0.466667  0.00531381
         532       -0.52   -0.466767  0.00530476
         533       -0.44   -0.466717  0.00529505
         534       -0.36   -0.466517   0.0052889
         535       -0.52   -0.466617  0.00527996
         536       -0.52   -0.466716  0.00527105
         537       -0.52   -0.466816  0.00526217
         538       -0.44   -0.466766  0.00525262
         539       -0.36   -0.466568  0.00524661
         540       -0.28   -0.466222  0.00524826
         541       -0.52   -0.466322   0.0052395
         542       -0.52   -0.466421  0.00523077
         543        -0.6   -0.466667  0.00522692
         544       -0.44   -0.466618  0.00521754
         545       -0.44   -0.466569  0.00520819
         546       -0.28   -0.466227  0.00520985
         547        -0.6   -0.466472  0.00520606
         548       -0.52   -0.466569  0.00519748
         549       -0.36   -0.466375  0.00519164
         550       -0.36   -0.466182   0.0051858
         551       -0.36   -0.465989  0.00517997
         552       -0.68   -0.466377  0.00518507
         553       -0.52   -0.466474   0.0051766
         554        -0.6   -0.466715  0.00517286
         555       -0.44   -0.466667  0.00516377
         556       -0.68    -0.46705  0.00516872
         557       -0.52   -0.467145  0.00516031
         558       -0.52    -0.46724  0.00515193
         559       -0.52   -0.467335  0.00514358
         560       -0.68   -0.467714   0.0051484
         561        -0.6    -0.46795  0.00514462
         562       -0.44     -0.4679   0.0051357
         563       -0.36   -0.467709  0.00513015
         564        -0.2   -0.467234  0.00514297
         565        -0.6   -0.467469  0.00513923
         566       -0.36   -0.467279  0.00513366
         567       -0.28   -0.466949  0.00513522
         568       -0.44   -0.466901   0.0051264
         569        -0.6   -0.467135  0.00512272
         570       -0.52   -0.467228  0.00511458
         571       -0.68   -0.467601  0.00511917
         572       -0.52   -0.467692  0.00511104
         573       -0.68   -0.468063  0.00511554
         574       -0.44   -0.468014  0.00510686
         575       -0.52   -0.468104  0.00509878
         576       -0.76   -0.468611  0.00511505
         577        -0.6   -0.468839  0.00511125
         578        -0.6   -0.469066  0.00510744
         579        -0.6   -0.469292  0.00510362
         580       -0.52   -0.469379  0.00509557
         581       -0.44   -0.469329  0.00508705
         582       -0.44   -0.469278  0.00507856
         583       -0.44   -0.469228   0.0050701
         584       -0.36   -0.469041  0.00506487
         585       -0.44   -0.468991  0.00505645
         586       -0.44   -0.468942  0.00504806
         587       -0.36   -0.468756  0.00504287
         588        -0.2   -0.468299  0.00505497
         589       -0.28    -0.46798  0.00505649
         590       -0.52   -0.468068  0.00504868
         591       -0.28    -0.46775  0.00505016
         592       -0.44   -0.467703  0.00504185
         593       -0.52   -0.467791  0.00503412
         594       -0.52   -0.467879  0.00502641
         595       -0.52   -0.467966  0.00501872
         596       -0.44   -0.467919  0.00501052
         597       -0.44   -0.467873  0.00500235
         598       -0.44   -0.467826   0.0049942
         599       -0.36   -0.467646  0.00498911
         600        -0.6   -0.467867  0.00498567
         601       -0.52   -0.467953  0.00497812
         602       -0.52    -0.46804  0.00497061
         603        -0.6   -0.468259  0.00496718
         604       -0.52   -0.468344  0.00495969
         605       -0.68   -0.468694  0.00496382
         606       -0.68   -0.469043  0.00496786
         607       -0.76   -0.469522  0.00498275
         608        -0.6   -0.469737  0.00497917
         609       -0.28   -0.469425  0.00498073
         610       -0.36   -0.469246   0.0049758
