#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         641    0.863074    0.926773  0.00870203
         642    0.864331    0.926676  0.00868902
         643    0.865597    0.926581  0.00867602
         644    0.866871    0.926488  0.00866305
         645    0.868149    0.926398  0.00865009
         646    0.869432     0.92631  0.00863715
         647    0.870717    0.926224  0.00862423
         648    0.872007     0.92614  0.00861132
         649    0.873299    0.926059  0.00859844
         650    0.874593    0.925979  0.00858557
         651    0.875891    0.925902  0.00857273
         652    0.877192    0.925828  0.00855991
         653    0.878498    0.925755  0.00854711
         654    0.879809    0.925685  0.00853433
         655    0.881128    0.925617  0.00852157
         656    0.882455    0.925551  0.00850883
         657    0.883793    0.925488  0.00849612
         658    0.885142    0.925426  0.00848343
         659    0.886505    0.925367  0.00847076
         660    0.887884     0.92531  0.00845812
         661    0.889279    0.925256   0.0084455
         662    0.890693    0.925204   0.0084329
         663    0.892129    0.925154  0.00842033
         664    0.893587    0.925106  0.00840778
         665    0.895068    0.925061  0.00839526
         666    0.896572    0.925018  0.00838276
         667    0.898101    0.924978  0.00837029
         668    0.899657     0.92494  0.00835785
         669    0.901239    0.924905  0.00834543
         670     0.90285    0.924872  0.00833304
         671    0.904488    0.924841  0.00832067
         672    0.906152    0.924814  0.00830834
         673    0.907841    0.924788  0.00829603
         674    0.909553    0.924766  0.00828375
         675     0.91129    0.924746  0.00827151
         676    0.913048    0.924728  0.00825929
         677    0.914827    0.924714   0.0082471
         678    0.916622    0.924702  0.00823495
         679    0.918431    0.924693  0.00822282
         680    0.920252    0.924686  0.00821073
         681     0.92208    0.924682  0.00819868
         682    0.923914    0.924681  0.00818666
         683    0.925749    0.924683  0.00817467
         684    0.927581    0.924687  0.00816272
         685    0.929405    0.924694  0.00815081
         686    0.931216    0.924703  0.00813893
         687     0.93301    0.924715  0.00812709
         688    0.934782     0.92473  0.00811529
         689    0.936528    0.924747  0.00810353
         690    0.938243    0.924767  0.00809181
         691    0.939922    0.924789  0.00808013
         692    0.941559    0.924813  0.00806849
         693     0.94315    0.924839  0.00805689
         694     0.94469    0.924868  0.00804533
         695    0.946175    0.924899  0.00803381
         696    0.947598    0.924931  0.00802234
         697    0.948955    0.924966   0.0080109
         698    0.950243    0.925002  0.00799951
         699    0.951456     0.92504  0.00798815
         700    0.952593    0.925079  0.00797684
         701    0.953648     0.92512  0.00796556
         702     0.95462    0.925162  0.00795433
         703    0.955507    0.925205  0.00794313
         704    0.956306    0.925249  0.00793197
         705    0.957014    0.925294  0.00792085
         706    0.957631     0.92534  0.00790976
         707    0.958154    0.925387  0.00789871
         708    0.958584    0.925433  0.00788769
         709    0.958918    0.925481  0.00787671
         710    0.959157    0.925528  0.00786576
         711    0.959299    0.925576  0.00785484
         712    0.959346    0.925623  0.00784395
         713    0.959297     0.92567  0.00783309
         714    0.959153    0.925717  0.00782226
         715    0.958914    0.925764  0.00781146
         716    0.958582    0.925809  0.00780068
         717    0.958156    0.925855  0.00778993
         718    0.957639    0.925899  0.00777921
         719    0.957031    0.925942  0.00776851
         720    0.956334    0.925984  0.00775783
         721    0.955549    0.926025  0.00774718
         722    0.954677    0.926065  0.00773655
         723     0.95372    0.926103  0.00772595
         724     0.95268     0.92614  0.00771536
         725     0.95156    0.926175   0.0077048
         726    0.950359    0.926208  0.00769426
         727    0.949079     0.92624  0.00768374
         728    0.947721    0.926269  0.00767324
         729    0.946288    0.926297  0.00766277
         730    0.944782    0.926322  0.00765231
